label,short,shortDomain,shortRange,description
first air date,dbo:firstAirDate,dbo:Broadcaster,xsd:date,first air date of broadcaster
first appearance,dbo:firstAppearance,dbo:FictionalCharacter,xsd:string,first appearance of fictional character
first ascent,dbo:firstAscent,"dbo:Mountain,Volcano",xsd:string,"first ascent of mountain, volcano"
year of first ascent,dbo:firstAscentYear,dbo:Mountain,xsd:gYear,year of first ascent of mountain
first broadcast,dbo:firstBroadcast,dbo:Film,xsd:string,first broadcast of film
first flight end date,dbo:firstFlightEndDate,dbo:SpaceShuttle,xsd:date,first flight end date of space shuttle
first flight start date,dbo:firstFlightStartDate,dbo:SpaceShuttle,xsd:date,first flight start date of space shuttle
first game,dbo:firstGame,dbo:SoccerClub,xsd:string,first game of soccer club
first launch,dbo:firstLaunch,dbo:YearInSpaceflight,xsd:date,first launch of year in spaceflight
first launch date,dbo:firstLaunchDate,dbo:LaunchPad,xsd:date,first launch date of launch pad
first mention,dbo:firstMention,dbo:PopulatedPlace,xsd:string,first mention of populated place
first place,dbo:firstPlace,,xsd:string,first place
first pro match,dbo:firstProMatch,dbo:Athlete,xsd:string,first pro match of athlete
first publication date,dbo:firstPublicationDate,dbo:WrittenWork,xsd:date,first publication date of written work
first publication year,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,first publication year of periodical literature
flag (image),dbo:flag,,xsd:string,flag
flag border,dbo:flagBorder,,xsd:string,flag border
flag caption,dbo:flagCaption,dbo:Flag,xsd:string,flag caption of flag
flag Link,dbo:flagLink,,xsd:string,flag link
flagSize,dbo:flagSize,dbo:Flag,xsd:integer,flagsize of flag
flash point,dbo:flashPoint,dbo:ChemicalSubstance,xsd:integer,flash point of chemical substance
flooding date,dbo:floodingDate,,xsd:date,flooding date
floor area (m2),dbo:floorArea,dbo:Building,xsd:double,floor area of building
floor count,dbo:floorCount,dbo:Building,xsd:positiveInteger,floor count of building
flora,dbo:flora,dbo:Place,xsd:string,flora of place
flying hours (s),dbo:flyingHours,dbo:MilitaryUnit,xsd:double,flying hours of military unit
foal date,dbo:foalDate,dbo:Animal,xsd:date,foal date of animal
foot,dbo:foot,dbo:Person,xsd:string,foot of person
forces,dbo:forces,,xsd:string,forces
formation date,dbo:formationDate,dbo:Organisation,xsd:date,formation date of organisation
formation year,dbo:formationYear,dbo:Organisation,xsd:gYear,formation year of organisation
former call sign,dbo:formerCallsign,dbo:Broadcaster,xsd:string,former call sign of broadcaster
former channel,dbo:formerChannel,dbo:Broadcaster,xsd:string,former channel of broadcaster
former name,dbo:formerName,,rdf:langString,former name
formula,dbo:formula,dbo:ChemicalSubstance,xsd:string,formula of chemical substance
foundation,dbo:foundation,dbo:PopulatedPlace,xsd:string,foundation of populated place
founding date,dbo:foundingDate,,xsd:date,founding date
founding year,dbo:foundingYear,,xsd:gYear,founding year
free,dbo:free,dbo:FictionalCharacter,xsd:string,free of fictional character
free danse score,dbo:freeDanseScore,dbo:Person,xsd:string,free danse score of person
free flight time (s),dbo:freeFlightTime,dbo:Spacecraft,xsd:double,free flight time of spacecraft
freeLabel,dbo:freeLabel,dbo:FictionalCharacter,xsd:string,freelabel of fictional character
free prog competition,dbo:freeProgCompetition,dbo:Person,xsd:string,free prog competition of person
free prog score,dbo:freeProgScore,dbo:Person,xsd:string,free prog score of person
free score competition,dbo:freeScoreCompetition,dbo:Person,xsd:string,free score competition of person
frequency (Hz),dbo:frequency,,xsd:double,frequency
frequency of publication,dbo:frequencyOfPublication,dbo:PeriodicalLiterature,xsd:string,frequency of publication of periodical literature
frequently updated,dbo:frequentlyUpdated,dbo:Software,xsd:string,frequently updated of software
length of a frontier,dbo:frontierLength,dbo:Place,xsd:float,length of a frontier of place
frozen,dbo:frozen,dbo:BodyOfWater,xsd:string,frozen of body of water
fuel capacity (μ³),dbo:fuelCapacity,dbo:Automobile,xsd:double,fuel capacity of automobile
fuel consumption,dbo:fuelConsumption,dbo:AutomobileEngine,xsd:string,fuel consumption of automobile engine
fuel type,dbo:fuelTypeName,dbo:PowerStation,rdf:langString,fuel type of power station
full competition,dbo:fullCompetition,dbo:Person,xsd:string,full competition of person
full score,dbo:fullScore,dbo:Person,xsd:string,full score of person
function end date,dbo:functionEndDate,dbo:PersonFunction,xsd:date,function end date of person function
function end year,dbo:functionEndYear,dbo:PersonFunction,xsd:gYear,function end year of person function
function start date,dbo:functionStartDate,dbo:PersonFunction,xsd:date,function start date of person function
function start year,dbo:functionStartYear,dbo:PersonFunction,xsd:gYear,function start year of person function
galicianSpeakersDate,dbo:galicianSpeakersDate,dbo:Language,xsd:gYear,galicianspeakersdate of language
galicianSpeakersPercentage,dbo:galicianSpeakersPercentage,dbo:Language,xsd:string,galicianspeakerspercentage of language
Modus the game can be played in,dbo:gameModus,,xsd:string,modus the game can be played in
games,dbo:games,dbo:OlympicResult,xsd:string,games of olympic result
gas chambers,dbo:gasChambers,dbo:ConcentrationCamp,xsd:string,gas chambers of concentration camp
gross domestic product (GDP) per capita,dbo:gdpPerCapita,dbo:PopulatedPlace,xsd:float,gross domestic product per capita of populated place
gene location end,dbo:geneLocationEnd,dbo:GeneLocation,xsd:integer,gene location end of gene location
gene location start,dbo:geneLocationStart,dbo:GeneLocation,xsd:integer,gene location start of gene location
geneReviewsId,dbo:geneReviewsId,dbo:Disease,xsd:string,genereviewsid of disease
geneReviewsName,dbo:geneReviewsName,dbo:Disease,rdf:langString,genereviewsname of disease
generation units,dbo:generationUnits,dbo:PowerStation,rdf:langString,generation units of power station
Genome DB,dbo:genomeDB,dbo:GeneLocation,xsd:string,genome db of gene location
geolocdual,dbo:geolocDual,dbo:Place,xsd:string,geolocdual of place
geologic period,dbo:geologicPeriod,dbo:Place,xsd:string,geologic period of place
geology,dbo:geology,,xsd:string,geology
gini coefficient,dbo:giniCoefficient,dbo:PopulatedPlace,xsd:float,gini coefficient of populated place
gini coefficient as of,dbo:giniCoefficientAsOf,dbo:PopulatedPlace,xsd:date,gini coefficient as of of populated place
gini coefficient ranking,dbo:giniCoefficientRanking,dbo:PopulatedPlace,xsd:positiveInteger,gini coefficient ranking of populated place
glycemic index,dbo:glycemicIndex,dbo:Food,xsd:integer,glycemic index of food
gnis code,dbo:gnisCode,dbo:PopulatedPlace,xsd:string,gnis code of populated place
gnl,dbo:gnl,dbo:PopulatedPlace,xsd:string,gnl of populated place
goals in league,dbo:goalsInLeague,dbo:SoccerPlayer,xsd:nonNegativeInteger,goals in league of soccer player
goals in national team,dbo:goalsInNationalTeam,dbo:SoccerPlayer,xsd:nonNegativeInteger,goals in national team of soccer player
gold medal double,dbo:goldMedalDouble,dbo:TennisPlayer,xsd:string,gold medal double of tennis player
gold medal mixed,dbo:goldMedalMixed,dbo:TennisPlayer,xsd:string,gold medal mixed of tennis player
gold medal single,dbo:goldMedalSingle,dbo:TennisPlayer,xsd:string,gold medal single of tennis player
government elevation (μ),dbo:governmentElevation,dbo:Island,xsd:double,government elevation of island
governorate,dbo:governorate,dbo:PopulatedPlace,xsd:string,governorate of populated place
GARDName,dbo:gradName,dbo:Disease,xsd:string,gardname of disease
GARDNum,dbo:gradNum,dbo:Disease,xsd:string,gardnum of disease
grave,dbo:grave,dbo:Person,xsd:string,grave of person
Gray page,dbo:grayPage,dbo:AnatomicalStructure,xsd:positiveInteger,gray page of anatomical structure
Gray subject,dbo:graySubject,dbo:AnatomicalStructure,xsd:positiveInteger,gray subject of anatomical structure
name in ancient Greek,dbo:greekName,,xsd:string,name in ancient greek
green long distance piste number,dbo:greenLongDistancePisteNumber,dbo:Place,xsd:nonNegativeInteger,green long distance piste number of place
green ski piste number,dbo:greenSkiPisteNumber,dbo:Place,xsd:nonNegativeInteger,green ski piste number of place
grid reference,dbo:gridReference,dbo:Place,xsd:string,grid reference of place
grinding capability,dbo:grindingCapability,dbo:Mill,xsd:string,grinding capability of mill
gross ($),dbo:gross,dbo:Film,xsd:double,gross of film
gross domestic product (GDP),dbo:grossDomesticProduct,dbo:PopulatedPlace,xsd:float,gross domestic product of populated place
gross domestic product as of,dbo:grossDomesticProductAsOf,dbo:PopulatedPlace,xsd:date,gross domestic product as of of populated place
gross domestic product per people,dbo:grossDomesticProductPerPeople,dbo:Place,xsd:string,gross domestic product per people of place
gross domestic product rank,dbo:grossDomesticProductRank,dbo:Place,xsd:string,gross domestic product rank of place
grounds for termination of activities,dbo:groundsForLiquidation,dbo:Company,rdf:langString,grounds for termination of activities of company
group commemorated,dbo:groupCommemorated,dbo:Monument,xsd:string,group commemorated of monument
aircraft gun,dbo:gun,dbo:Aircraft,xsd:string,aircraft gun of aircraft
hair color,dbo:hairColor,dbo:Person,xsd:string,hair color of person
hair colour,dbo:hairColour,dbo:Person,xsd:string,hair colour of person
hairs,dbo:hairs,dbo:FictionalCharacter,xsd:string,hairs of fictional character
hall of fame,dbo:hallOfFame,dbo:IceHockeyPlayer,xsd:string,hall of fame of ice hockey player
handisport,dbo:handisport,dbo:Person,xsd:string,handisport of person
Has KML data associated with it (usually because of KML overlays),dbo:hasKMLData,dbo:File,xsd:string,has kml data associated with it of file
has natural bust,dbo:hasNaturalBust,dbo:Person,xsd:string,has natural bust of person
head label,dbo:headLabel,dbo:School,rdf:langString,head label of school
height (μ),dbo:height,,xsd:double,height
height above average terrain (μ),dbo:heightAboveAverageTerrain,dbo:Broadcaster,xsd:double,height above average terrain of broadcaster
height against,dbo:heightAgainst,dbo:Athlete,xsd:string,height against of athlete
height attack,dbo:heightAttack,dbo:Athlete,xsd:string,height attack of athlete
heisman,dbo:heisman,dbo:Athlete,xsd:string,heisman of athlete
highest break,dbo:highestBreak,dbo:SnookerPlayer,xsd:integer,highest break of snooker player
highest building in year,dbo:highestBuildingInYear,dbo:Skyscraper,xsd:date,highest building in year of skyscraper
highest point of the island,dbo:highestPointIsland,dbo:Island,xsd:string,highest point of the island of island
highest rank,dbo:highestRank,dbo:SnookerPlayer,xsd:integer,highest rank of snooker player
hip size (μ),dbo:hipSize,dbo:Person,xsd:double,hip size of person
historical map,dbo:historicalMap,dbo:Place,xsd:string,historical map of place
historical name,dbo:historicalName,dbo:Place,rdf:langString,historical name of place
historical region,dbo:historicalRegion,dbo:PopulatedPlace,xsd:string,historical region of populated place
hof,dbo:hof,dbo:Athlete,xsd:string,hof of athlete
homage,dbo:homage,dbo:Person,xsd:string,homage of person
colour hex code of home jersey or its parts,dbo:homeColourHexCode,,xsd:string,colour hex code of home jersey or its parts
hopman cup,dbo:hopmanCup,dbo:Athlete,xsd:string,hopman cup of athlete
hra state,dbo:hraState,dbo:PopulatedPlace,xsd:string,hra state of populated place
hue coordinate in the HSV colour space,dbo:hsvCoordinateHue,dbo:Colour,xsd:integer,hue coordinate in the hsv colour space of colour
saturation coordinate in the HSV colour space,dbo:hsvCoordinateSaturation,dbo:Colour,xsd:integer,saturation coordinate in the hsv colour space of colour
value coordinate in the HSV colour space,dbo:hsvCoordinateValue,dbo:Colour,xsd:integer,value coordinate in the hsv colour space of colour
Human Development Index (HDI),dbo:humanDevelopmentIndex,dbo:PopulatedPlace,xsd:float,human development index of populated place
human development index as of,dbo:humanDevelopmentIndexAsOf,dbo:PopulatedPlace,xsd:date,human development index as of of populated place
human development index rank,dbo:humanDevelopmentIndexRank,dbo:Place,xsd:string,human development index rank of place
iafd id,dbo:iafdId,dbo:Film,xsd:string,iafd id of film
IATA code,dbo:iataAirlineCode,dbo:Airline,xsd:string,iata code of airline
IATA Location Identifier,dbo:iataLocationIdentifier,dbo:Infrastructure,xsd:string,iata location identifier of infrastructure
IBDB ID,dbo:ibdbId,dbo:Play,xsd:string,ibdb id of play
ICAO code,dbo:icaoAirlineCode,dbo:Airline,xsd:string,icao code of airline
ICAO Location Identifier,dbo:icaoLocationIdentifier,dbo:Airport,xsd:string,icao location identifier of airport
ICD1,dbo:icd1,dbo:Disease,xsd:string,icd1 of disease
ICD10,dbo:icd10,dbo:Disease,xsd:string,icd10 of disease
ICD9,dbo:icd9,dbo:Disease,xsd:string,icd9 of disease
ICDO,dbo:icdo,dbo:Disease,xsd:string,icdo of disease
iconographic attributes,dbo:iconographicAttributes,dbo:Saint,rdf:langString,iconographic attributes of saint
id,dbo:id,dbo:WorldHeritageSite,xsd:string,id of world heritage site
Allocine ID,dbo:idAllocine,dbo:Film,xsd:string,allocine id of film
id number,dbo:idNumber,dbo:Person,xsd:nonNegativeInteger,id number of person
identification symbol,dbo:identificationSymbol,dbo:MilitaryUnit,xsd:string,identification symbol of military unit
lihf hof,dbo:iihfHof,dbo:Person,xsd:string,lihf hof of person
illiteracy,dbo:illiteracy,dbo:PopulatedPlace,xsd:float,illiteracy of populated place
image size (px),dbo:imageSize,,xsd:integer,image size
IMDB id,dbo:imdbId,,xsd:string,imdb id
impact factor,dbo:impactFactor,dbo:AcademicJournal,xsd:double,impact factor of academic journal
impact factor as of,dbo:impactFactorAsOf,dbo:AcademicJournal,xsd:gYear,impact factor as of of academic journal
imposed danse competition,dbo:imposedDanseCompetition,dbo:Person,xsd:string,imposed danse competition of person
imposed danse score,dbo:imposedDanseScore,dbo:Person,xsd:string,imposed danse score of person
The IUPAC International Chemical Identifier,dbo:inchi,dbo:ChemicalCompound,xsd:string,the iupac international chemical identifier of chemical compound
inclination,dbo:inclination,dbo:Spacecraft,xsd:float,inclination of spacecraft
income,dbo:income,dbo:PopulatedPlace,xsd:string,income of populated place
individualised GND number,dbo:individualisedGnd,,xsd:string,individualised gnd number
individualised PND number,dbo:individualisedPnd,dbo:Person,xsd:nonNegativeInteger,individualised pnd number of person
infant mortality,dbo:infantMortality,dbo:PopulatedPlace,xsd:float,infant mortality of populated place
information,dbo:information,dbo:Place,xsd:string,information of place
information name,dbo:informationName,dbo:Place,xsd:string,information name of place
ingredient name (literal),dbo:ingredientName,dbo:Food,xsd:string,ingredient name of food
initally used for,dbo:initiallyUsedFor,dbo:ArchitecturalStructure,xsd:string,initally used for of architectural structure
INN,dbo:inn,dbo:ChemicalCompound,xsd:string,inn of chemical compound
inscription,dbo:inscription,,xsd:string,inscription
INSEE code,dbo:inseeCode,dbo:Settlement,xsd:string,insee code of settlement
installed capacity (W),dbo:installedCapacity,dbo:PowerStation,xsd:double,installed capacity of power station
interest,dbo:interest,dbo:SiteOfSpecialScientificInterest,xsd:string,interest of site of special scientific interest
international phone prefix,dbo:internationalPhonePrefix,dbo:PopulatedPlace,xsd:string,international phone prefix of populated place
international phone prefix label,dbo:internationalPhonePrefixLabel,dbo:PopulatedPlace,xsd:string,international phone prefix label of populated place
internationally,dbo:internationally,dbo:Company,xsd:boolean,internationally of company
introduced,dbo:introduced,,xsd:date,introduced
introduction date,dbo:introductionDate,dbo:MeanOfTransportation,xsd:date,introduction date of mean of transportation
IOBDB ID,dbo:iobdbId,dbo:Play,xsd:string,iobdb id of play
is a city state,dbo:isCityState,dbo:Settlement,xsd:string,is a city state of settlement
is handicapped accessible,dbo:isHandicappedAccessible,dbo:Station,xsd:boolean,is handicapped accessible of station
is part of (literal),dbo:isPartOfName,,xsd:string,is part of
is peer reviewed,dbo:isPeerReviewed,dbo:AcademicJournal,xsd:boolean,is peer reviewed of academic journal
ISBN,dbo:isbn,dbo:WrittenWork,xsd:string,isbn of written work
International Standard Identifier for Libraries and Related Organizations (ISIL),dbo:isil,dbo:Library,xsd:string,international standard identifier for libraries and related organizations of library
ISNI Id,dbo:isniId,,xsd:string,isni id
ISO 3166-1 code,dbo:iso31661Code,dbo:Place,xsd:string,iso 3166-1 code of place
ISO 639-1 code,dbo:iso6391Code,dbo:Language,xsd:string,iso 639-1 code of language
ISO 639-2 code,dbo:iso6392Code,dbo:Language,xsd:string,iso 639-2 code of language
ISO 639-3 code,dbo:iso6393Code,dbo:Language,xsd:string,iso 639-3 code of language
iso code of a place,dbo:isoCode,dbo:Place,xsd:string,iso code of a place of place
ISO region code,dbo:isoCodeRegion,dbo:Settlement,xsd:string,iso region code of settlement
iss dockings,dbo:issDockings,dbo:SpaceShuttle,xsd:nonNegativeInteger,iss dockings of space shuttle
issn,dbo:issn,dbo:PeriodicalLiterature,xsd:string,issn of periodical literature
ist,dbo:ist,dbo:PopulatedPlace,xsd:string,ist of populated place
code istat,dbo:istat,dbo:PopulatedPlace,xsd:string,code istat of populated place
italic title,dbo:italicTitle,dbo:MusicalWork,xsd:string,italic title of musical work
ithf date,dbo:ithfDate,dbo:Athlete,xsd:string,ithf date of athlete
iucn category,dbo:iucnCategory,dbo:ProtectedArea,xsd:string,iucn category of protected area
IUPAC name,dbo:iupacName,dbo:Drug,rdf:langString,iupac name of drug
JSTOR,dbo:jstor,dbo:AcademicJournal,xsd:string,jstor of academic journal
junior years end year,dbo:juniorYearsEndYear,dbo:Person,xsd:gYear,junior years end year of person
junior years start year,dbo:juniorYearsStartYear,dbo:Person,xsd:gYear,junior years start year of person
jutsu,dbo:jutsu,dbo:Person,xsd:string,jutsu of person
KEGG,dbo:kegg,dbo:ChemicalSubstance,xsd:string,kegg of chemical substance
khl draft year,dbo:khlDraft,dbo:IceHockeyPlayer,xsd:string,khl draft year of ice hockey player
khl draft year,dbo:khlDraftYear,dbo:IceHockeyPlayer,xsd:string,khl draft year of ice hockey player
killed by,dbo:killedBy,dbo:Person,xsd:string,killed by of person
kindOfLanguage,dbo:kinOfLanguage,,xsd:string,kindoflanguage
kind of coordinate,dbo:kindOfCoordinate,dbo:Place,xsd:string,kind of coordinate of place
kind of criminal,dbo:kindOfCriminal,dbo:Criminal,xsd:string,kind of criminal of criminal
kind of criminal action,dbo:kindOfCriminalAction,dbo:Criminal,xsd:string,kind of criminal action of criminal
kind of rock,dbo:kindOfRock,dbo:Place,xsd:string,kind of rock of place
ko,dbo:ko,dbo:Boxer,xsd:nonNegativeInteger,ko of boxer
lah hof,dbo:lahHof,dbo:Person,xsd:string,lah hof of person
area of a land (m2),dbo:landArea,dbo:Place,xsd:double,area of a land of place
land percentage of a place,dbo:landPercentage,dbo:Place,xsd:float,land percentage of a place of place
land registry code,dbo:landRegistryCode,dbo:Settlement,xsd:string,land registry code of settlement
landing date,dbo:landingDate,dbo:SpaceMission,xsd:date,landing date of space mission
landing site,dbo:landingSite,dbo:SpaceMission,xsd:string,landing site of space mission
norwegian landskap,dbo:landskap,dbo:NorwaySettlement,xsd:string,norwegian landskap of norway settlement
austrian land tag,dbo:landtag,dbo:AdministrativeRegion,xsd:string,austrian land tag of administrative region
austrian land tag mandate,dbo:landtagMandate,dbo:AdministrativeRegion,xsd:string,austrian land tag mandate of administrative region
language code,dbo:languageCode,dbo:Language,xsd:string,language code of language
largest win,dbo:largestWin,dbo:SoccerClub,xsd:string,largest win of soccer club
last air date,dbo:lastAirDate,dbo:Broadcaster,xsd:date,last air date of broadcaster
last election date,dbo:lastElectionDate,dbo:Legislature,xsd:date,last election date of legislature
last flight end date,dbo:lastFlightEndDate,dbo:SpaceShuttle,xsd:date,last flight end date of space shuttle
last flight start date,dbo:lastFlightStartDate,dbo:SpaceShuttle,xsd:date,last flight start date of space shuttle
last launch,dbo:lastLaunch,dbo:YearInSpaceflight,xsd:date,last launch of year in spaceflight
last launch date,dbo:lastLaunchDate,dbo:LaunchPad,xsd:date,last launch date of launch pad
last position,dbo:lastPosition,dbo:FormulaOneRacer,xsd:positiveInteger,last position of formula one racer
last pro match,dbo:lastProMatch,dbo:Athlete,xsd:string,last pro match of athlete
last publication date,dbo:lastPublicationDate,dbo:WrittenWork,xsd:date,last publication date of written work
last season,dbo:lastSeason,dbo:FormulaOneRacer,xsd:date,last season of formula one racer
laterality,dbo:laterality,dbo:Athlete,xsd:string,laterality of athlete
date of latest election,dbo:latestElection,dbo:PopulatedPlace,xsd:date,date of latest election of populated place
latest preview date,dbo:latestPreviewDate,dbo:Software,xsd:date,latest preview date of software
latest preview version,dbo:latestPreviewVersion,dbo:Software,xsd:string,latest preview version of software
latest release date,dbo:latestReleaseDate,dbo:Software,xsd:date,latest release date of software
latest release version,dbo:latestReleaseVersion,dbo:Software,xsd:string,latest release version of software
name in latin,dbo:latinName,,xsd:string,name in latin
launch,dbo:launch,dbo:Spacecraft,xsd:date,launch of spacecraft
launch date,dbo:launchDate,dbo:SpaceMission,xsd:date,launch date of space mission
launches,dbo:launches,dbo:LaunchPad,xsd:nonNegativeInteger,launches of launch pad
law country,dbo:lawCountry,dbo:Place,xsd:string,law country of place
laying down,dbo:layingDown,dbo:Ship,xsd:date,laying down of ship
LCC,dbo:lcc,dbo:WrittenWork,xsd:string,lcc of written work
LCCN,dbo:lccn,dbo:WrittenWork,xsd:string,lccn of written work
LCCN Id,dbo:lccnId,,xsd:string,lccn id
lchf draft year,dbo:lchfDraft,dbo:IceHockeyPlayer,xsd:string,lchf draft year of ice hockey player
lchf draft year,dbo:lchfDraftYear,dbo:IceHockeyPlayer,xsd:string,lchf draft year of ice hockey player
lead year,dbo:leadYear,"dbo:Athlete,_CareerStation",xsd:string,"lead year of athlete,_ career station"
leader title,dbo:leaderTitle,dbo:PopulatedPlace,rdf:langString,leader title of populated place
leadership,dbo:leadership,dbo:Person,xsd:string,leadership of person
legal arrondissement,dbo:legalArrondissement,dbo:BelgiumSettlement,xsd:string,legal arrondissement of belgium settlement
legal article,dbo:legalArticle,dbo:LegalCase,xsd:string,legal article of legal case
legislative period name,dbo:legislativePeriodName,dbo:Legislature,xsd:string,legislative period name of legislature
length (μ),dbo:length,,xsd:double,length
length quote,dbo:lengthQuote,dbo:Place,xsd:string,length quote of place
length reference,dbo:lengthReference,dbo:RouteOfTransportation,xsd:string,length reference of route of transportation
lethal when given to chickens,dbo:lethalOnChickens,dbo:ChemicalSubstance,xsd:string,lethal when given to chickens of chemical substance
lethal when given to mice,dbo:lethalOnMice,dbo:ChemicalSubstance,xsd:string,lethal when given to mice of chemical substance
lethal when given to rabbits,dbo:lethalOnRabbits,dbo:ChemicalSubstance,xsd:string,lethal when given to rabbits of chemical substance
lethal when given to rats,dbo:lethalOnRats,dbo:ChemicalSubstance,xsd:string,lethal when given to rats of chemical substance
date of liberation,dbo:liberationDate,dbo:ConcentrationCamp,xsd:string,date of liberation of concentration camp
libretto,dbo:libretto,dbo:Opera,xsd:string,libretto of opera
licence letter of a german settlement,dbo:licenceLetter,dbo:GermanSettlement,xsd:string,licence letter of a german settlement of german settlement
licence number,dbo:licenceNumber,dbo:PopulatedPlace,xsd:string,licence number of populated place
licence number label,dbo:licenceNumberLabel,dbo:PopulatedPlace,xsd:string,licence number label of populated place
licensee,dbo:licensee,,xsd:string,licensee
lieutenancy,dbo:lieutenancy,dbo:PopulatedPlace,xsd:string,lieutenancy of populated place
life expectancy,dbo:lifeExpectancy,dbo:PopulatedPlace,xsd:string,life expectancy of populated place
limit,dbo:limit,dbo:Place,xsd:string,limit of place
line length (μ),dbo:lineLength,dbo:RouteOfTransportation,xsd:double,line length of route of transportation
linked space,dbo:linkedSpace,dbo:Place,xsd:string,linked space of place
little pool record,dbo:littlePoolRecord,dbo:Person,xsd:string,little pool record of person
load limit (g),dbo:loadLimit,dbo:Bridge,xsd:double,load limit of bridge
local phone prefix,dbo:localPhonePrefix,dbo:PopulatedPlace,xsd:nonNegativeInteger,local phone prefix of populated place
locality of a switzerland settlement,dbo:locality,dbo:Settlement,xsd:string,locality of a switzerland settlement of settlement
localization of the island,dbo:localization,dbo:Island,xsd:string,localization of the island of island
legend thumbnail localization,dbo:localizationThumbnailCaption,dbo:PopulatedPlace,xsd:string,legend thumbnail localization of populated place
Location Identifier,dbo:locationIdentifier,dbo:Airport,xsd:string,location identifier of airport
locationName,dbo:locationName,,xsd:string,locationname
locus supplementary data,dbo:locusSupplementaryData,dbo:Protein,xsd:string,locus supplementary data of protein
logo,dbo:logo,,xsd:string,logo
long distance piste kilometre (μ),dbo:longDistancePisteKilometre,dbo:Place,xsd:double,long distance piste kilometre of place
long distance piste number,dbo:longDistancePisteNumber,dbo:Place,xsd:nonNegativeInteger,long distance piste number of place
longName,dbo:longName,,rdf:langString,longname
longtype,dbo:longtype,dbo:Album,xsd:string,longtype of album
lower age,dbo:lowerAge,dbo:School,xsd:nonNegativeInteger,lower age of school
lower earth orbit payload (g),dbo:lowerEarthOrbitPayload,dbo:Rocket,xsd:double,lower earth orbit payload of rocket
lowest,dbo:lowest,dbo:Place,xsd:string,lowest of place
lunar EVA time (s),dbo:lunarEvaTime,dbo:SpaceMission,xsd:double,lunar eva time of space mission
lunar landing site,dbo:lunarLandingSite,dbo:SpaceMission,xsd:string,lunar landing site of space mission
lunar orbit time (s),dbo:lunarOrbitTime,dbo:SpaceMission,xsd:double,lunar orbit time of space mission
lunar surface time (s),dbo:lunarSurfaceTime,dbo:SpaceMission,xsd:double,lunar surface time of space mission
maiden flight,dbo:maidenFlight,dbo:Rocket,xsd:date,maiden flight of rocket
maiden voyage,dbo:maidenVoyage,dbo:Ship,xsd:date,maiden voyage of ship
main building,dbo:mainBuilding,dbo:Shrine,xsd:string,main building of shrine
main islands,dbo:mainIslands,dbo:Island,xsd:string,main islands of island
mainspan (μ),dbo:mainspan,dbo:Bridge,xsd:double,mainspan of bridge
majority floor leader,dbo:majorityFloorLeader,,xsd:integer,majority floor leader
majority leader,dbo:majorityLeader,,xsd:integer,majority leader
management elevation (μ),dbo:managementElevation,,xsd:double,management elevation
manager title,dbo:managerTitle,dbo:SoccerClub,xsd:string,manager title of soccer club
manager years,dbo:managerYears,dbo:SoccerPlayer,xsd:date,manager years of soccer player
manager years end year,dbo:managerYearsEndYear,,xsd:gYear,manager years end year
manager years start year,dbo:managerYearsStartYear,,xsd:gYear,manager years start year
political mandate,dbo:mandate,,xsd:string,political mandate
map caption,dbo:mapCaption,dbo:Place,xsd:string,map caption of place
map description,dbo:mapDescription,dbo:Place,xsd:string,map description of place
market capitalisation ($),dbo:marketCapitalisation,dbo:Company,xsd:double,market capitalisation of company
mascot,dbo:mascot,,xsd:string,mascot
mass (g),dbo:mass,,xsd:double,mass
match point,dbo:matchPoint,dbo:Person,xsd:string,match point of person
max,dbo:max,,xsd:nonNegativeInteger,max
maximum absolute magnitude,dbo:maxAbsoluteMagnitude,dbo:CelestialBody,xsd:double,maximum absolute magnitude of celestial body
maximum apparent magnitude,dbo:maxApparentMagnitude,dbo:CelestialBody,xsd:double,maximum apparent magnitude of celestial body
maximum preparation time (s),dbo:maxTime,dbo:Food,xsd:double,maximum preparation time of food
maximum area,dbo:maximumArea,dbo:Place,xsd:string,maximum area of place
maximum area quote,dbo:maximumAreaQuote,dbo:Place,xsd:string,maximum area quote of place
maximum boat beam (μ),dbo:maximumBoatBeam,dbo:Canal,xsd:double,maximum boat beam of canal
maximum boat length (μ),dbo:maximumBoatLength,dbo:Canal,xsd:double,maximum boat length of canal
maximum depth (μ),dbo:maximumDepth,dbo:Place,xsd:double,maximum depth of place
maximum depth quote,dbo:maximumDepthQuote,dbo:Place,xsd:string,maximum depth quote of place
maximum discharge (m³/s),dbo:maximumDischarge,,xsd:double,maximum discharge
maximum elevation (μ),dbo:maximumElevation,dbo:Place,xsd:double,maximum elevation of place
maximum inclination,dbo:maximumInclination,dbo:LaunchPad,xsd:float,maximum inclination of launch pad
maximum temperature (K),dbo:maximumTemperature,dbo:Planet,xsd:double,maximum temperature of planet
mayor article,dbo:mayorArticle,dbo:Place,xsd:string,mayor article of place
mayor councillor,dbo:mayorCouncillor,,xsd:string,mayor councillor
mayor function of a switzerland settlement,dbo:mayorFunction,dbo:SwitzerlandSettlement,xsd:string,mayor function of a switzerland settlement of switzerland settlement
mayorMandate,dbo:mayorMandate,dbo:Mayor,xsd:string,mayormandate of mayor
MBA Id,dbo:mbaId,,xsd:string,mba id
mean radius (μ),dbo:meanRadius,dbo:Planet,xsd:double,mean radius of planet
mean temperature (K),dbo:meanTemperature,dbo:Planet,xsd:double,mean temperature of planet
